,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
HWKN,41.9,1.1217080153018035,True,False,0.8097481952687983,1.670964450971311,2.063560574428486,17.829951936840583,17,712.3,44957.02150151119,0.035615,2.2478510750755603
FIX,54.45,1.0902049087588783,True,False,0.7903151799784689,1.6653538144854216,2.1072021095821443,18.345175149475885,18,980.1,45937.12150151119,0.049005,2.2968560750755604
PRA,47.58345768492858,0.8632043447990911,True,False,0.6821583655569621,1.6580565766927886,2.430603596481639,23.169484862422646,23,1094.4195267533573,47031.541028264546,0.05472097633766786,2.351577051413228
DFIN,20.6,0.4678631715655731,True,False,0.7471485277118669,1.6461596359277086,2.2032562132847295,42.74754076726236,42,865.2,47896.74102826454,0.04326,2.3948370514132282
FCN,73.12,1.6495709483032024,True,False,0.7157647719702411,1.6145513218936074,2.2557010139648708,12.1243648359427,12,877.44,48774.181028264546,0.043872,2.438709051413228
ITGR,83.8,1.6646060789401276,True,False,0.8036067607406425,1.603220258457607,1.9950308245042667,12.014854597151425,12,1005.5999999999999,49779.781028264544,0.05028,2.488989051413228
ANDE,38.431574771915905,0.7953706274918443,True,False,0.8014724931450884,1.5939703316204312,1.9888022923475168,25.145509915382284,25,960.7893692978976,50740.57039756244,0.04803946846489488,2.537028519878123
FCPT,25.413763440860208,0.38874152058951655,True,False,0.8567068198673817,1.5838731413728062,1.8487924977858703,51.44806752227164,51,1296.1019354838706,52036.672333046314,0.06480509677419354,2.6018336166523164
FARO,65.6,1.5681458995655382,True,False,0.7293324353459802,1.5820755987830226,2.1692105302193485,12.753915312051697,12,787.1999999999999,52823.87233304631,0.03936,2.6411936166523162
PRLB,161.5,4.012932710405037,True,False,0.7181909333190677,1.5783816381399247,2.1977186913869096,4.983886210736222,4,646.0,53469.87233304631,0.0323,2.6734936166523164
ADTN,18.6,0.44123003485264756,True,False,0.8196155002096739,1.5689070178674005,1.9141988133045837,45.327829975761205,45,837.0000000000001,54306.87233304631,0.041850000000000005,2.7153436166523166
WSR,13.67,0.2260901342343579,True,False,0.9410725054172624,1.5673641794519164,1.6655084177142785,88.46029512844038,88,1202.96,55509.83233304631,0.060148,2.7754916166523165
GDOT,87.25,2.177209948456645,True,False,0.8738652699448881,1.5670327924792729,1.7932201294349421,9.186068626122788,9,785.25,56295.08233304631,0.0392625,2.8147541166523165
