,Adj_Close,atr,bullish,gap,r2,rank_score,slope
CATM,32.54,1.2602644490272978,True,True,0.5724455535879422,1.5738306481703321,2.749310634532777
CATO,21.28,0.7981665323184831,False,False,0.07186819763333563,0.0566768237232491,0.7886217491136844
CBB,15.45,0.6394050996900844,True,False,0.0050513212504073035,0.004705586828949033,0.9315556456777734
CBL,4.3,0.1816509924884031,False,False,0.4104099145899419,0.20883817453719988,0.508852654658353
CBM,66.2,1.9117964692254905,True,False,0.8627998520474051,2.9675410643360793,3.4394315869366108
CBU,61.17,0.9498116693321498,False,False,0.6461648632808172,0.8481616084552746,1.312608680312398
CCMP,102.27,2.68707945059126,False,False,0.07831314938222766,0.06923190449901405,0.8840393349667213
CCOI,55.5,1.13485901462632,True,False,0.3026200704966424,0.36596300669669296,1.2093150533475714
CCRN,8.67,0.33642074841334824,False,True,0.7174127145776122,0.24809955748271345,0.34582542578547115
CDR,4.39,0.13975980883931474,False,False,0.008920689932504944,0.009301349847456005,1.0426715778522941
CECO,14.46,0.37949879177410306,False,False,0.038287228682278185,0.03300724954474925,0.8620955519830336
CEIX,41.31,1.6333545672525822,False,False,0.0006863855433356659,0.000695007600579564,1.0125615367742116
CENT,36.85,0.8639810398621984,False,False,0.39938450760418553,0.3014804702705578,0.7548627063154473
CENTA,33.9,0.8498284801569195,False,False,0.44933063009484353,0.32279669982742226,0.7183946034555605
CENX,11.86,0.7142024151167752,False,False,0.8373175499328591,0.23871240208510672,0.2850918413262066
CEVA,28.6,0.9141990433976501,False,False,0.6928468157943422,0.4195297535948682,0.6055158860965268
CHCO,75.54,1.1935736046173626,False,False,0.40493037282568045,0.49297342985775966,1.217427644208801
CHCT,29.91,0.5020189888483186,True,False,0.7035912804771196,1.0637928224322342,1.5119471374216782
CHS,8.56,0.31293379941355576,False,False,0.002366200768054161,0.0024393595486477087,1.0309182473360914
CHSP,32.33,0.5058867177369204,True,False,0.5180578921222805,0.6011519932640003,1.1603953967409235
CHUY,25.35,1.0081928639176243,False,False,0.2571760639942896,0.18313212335810308,0.7120885222124302
CIR,47.75,1.2217523185673618,True,False,0.002924684334156713,0.003059001451658372,1.0459253383118994
CJ,21.07,0.9011141940772939,False,False,0.5929845123467826,0.3013436217449307,0.5081812686006583
CKH,49.47,1.1280071929420132,False,False,0.467185466441364,0.3474003050585213,0.7436025519045618
CLD,2.44,0.11990670380917579,False,False,0.7914003017662341,0.15395270956476031,0.19453203293095947
CLDT,20.64,0.30981109751881825,False,False,0.3272064614800454,0.3806433383728855,1.163312413364731
CLW,30.15,1.0908819780562868,True,False,0.5725959964646326,1.2613778424926234,2.202910691448634
